Title,Score,Comment
모비우스,6,좋은 배우 소재를 가지고 매우 밋밋하게 만든영화!
서울대작전,4,글로배운 레트로가 시대정신을 만나 바이얼 광고가 되었네.문소리빼고는 연기도 다 이상하게 보이는 신기한 영화.
앰뷸런스,6,막막 터지는 액션의향연! 딱 거기까지!
육사오(6/45),10,계속되는  흥미진진한 반전에 끝날때까지 유쾌하고 즐거웠습니다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,"김호중 이 시대의 진정한 천재 뮤지션...지금 까지 이런 가수는 어디도 없었다. 무대 위 빛나는 카리스마 뒤에서 고뇌하는 예술인의 모습...스타가 아닌 ""인간 김호중"" 완전 감동"
헌트,10,"어렸을때부터 제일 좋아했던 배우가 연출한 영화를 보다니, 그런데 그 영화가 심지어 웰메이드 되어서 너무 행복한 마음으로 봤습니다. 앞으로 감독 이정재님의 모습이 더욱 기대되는 영화입니다."
오아시스,10,헛소리 하지말고 입다물고 그냥 봐
육사오(6/45),8,간만에 제대로 웃었음ㅋㅋㅋ
육사오(6/45),8,좋았어요~ 추천합니다
썬다운,6,무기력과 무책임 사이 그 어딘가
썬다운,6,무기력과 무책임 사이 그 어딘가
야차,2,북한찬양하는 멀티 7시지역 인간들만 좋아할 영화네여
그대가 조국,1,허리아픈 마누라에게 헬스로 교도소 몸짱되길 권유하는 다정한 남자..개나소나 가는 의대에 딸 보낸게 죄요?
외계+인 1부,8,전 재밌게 봤어요 왜 평점이 저런지 모르겠네요 2부 나오면 또 보려고요
놉,4,지루하고 재미없다..
육사오(6/45),6,너무나도 진부한 스토리
육사오(6/45),1,별점 1도 아깝다. 정말 성의 없이 만들었다.
외계+인 1부,10,"각 캐릭터가 본연의 성격을 잘 보유하고 개성을 가짐, CG등 영상도 고급스러움"
시맨틱 에러: 더 무비,10,개봉첫날 신랑이랑 같이 봤어요. 드라마랑 거의 비슷하지만 엔지컷때 빵 터졌네요. 극장에서도 보길 잘했어요~~
육사오(6/45),10,
육사오(6/45),10,월드타워롯시] 광고나 상영 예정도 인지 못한 뜬금없는 영화였다. 웃기기 위해 인위적으로 만들었다지만 보는 내내 몰입되는 정말 만족스러운 영화였다. 독특한 설정과 아이디어 그걸 받쳐주는 배우들 연기나 캐릭터도 거슬리지 않아 영화가 흡수가 잘 됐다. 극장에서 그렇게 웃고 10점 안 주면 양심에 찔릴 거 같다. '죽지않는 인간들의 밤'과 비견될 만한 코미디 영화였다.
레이니 데이 인 뉴욕,10,"비오는 뉴욕, 분위기, ost가 다한"
육사오(6/45),10,유쾌하게 웃으며 아무생각 없이 보기 좋습니다 ㅎㅎ
육사오(6/45),10,재밋게 봤습니다. 복잡한 생각들 영화보는 동안 잊을 수 있었어요. 오랜만에 좋은 코미디 영화 보게 되어 좋았습니다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
악마가 너의 죽음을 알기 전에,8,아버지가 자기아내 죽인 범인 찿는다고 차타고 나갈때 차 트렁크가 덜 닫히고 무거워 한쪽으로 처졌는데 트렁크에는 뭐가 있었는지?
리미트,7,그래도 잘 이끌어가줘서 배우들이 고맙!
한산: 용의 출현,4,다른걸 다 떠나서ㅋㅋ 우리나라 cg수준이 아직 이것밖에 안되나 그 생각만 들었어요.. 좀 조잡하고 배우들 연기 제외하고는 전체적으로 실망이네요
첩혈쌍웅,10,주윤발의 영화들... 개인적으로 강호정/영웅호한/영웅본색 1.2/정전자 1/우견아랑/그리고 첩혈쌍웅을 손꼽는다.
한산: 용의 출현,5,집중해서 볼수가 없었다. 계속 보면서 잠이 들어  다시보기 5번 실패. 내일 진짜 집중해서 다시도전해볼 생각이지만 장담은 못할 듯.
헤어질 결심,10,"온 가족이 극장에서 세번보고, 각본집 사서 읽고, VOD구입.인생최고의 영화 중 하나를 만났습니다.마침내...각본,연출,연기,ost까지 모두 좋았습니다."
헌트,9,진짜 대사 잘 안들리는 거 빼고는 다 좋음. 간만에 대작 영화 나옴.
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,김호중 빛이나는 사람으로 아리스와 함께하는 음악여정
서울대작전,1,선악구도의 정치성향을 갖고 있는 사람들도 머한민국에서 언젠간 사라지겠지. 선동물 만들 정성으로 영화를 만드시기를
서울대작전,1,"2022에서로운 쓰레기, 등장. 혹시나에서ㅈ계속ㅈ보니 내용도없고 그냥지워버림"
서울대작전,10,아니 다들 왜케 평점을 낮게주는거지 진짜 재밌었는데 연출도 좋았다구 생각함ㅠㅠ 정말 재밌어서 두번째 보는중이에여..
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,김호중님 빛이나는사람  감동입니다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,컴백 뮤비  진심이 느껴지는감동을주는  빛이나는사람
리미트,10,역시 영화는 별 기대없이 봐야 재밌는듯~ 저는 잘 봤습니다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
서울대작전,1,감독은 이좋은 배우를 데리고 어쩌면 이런 똥 영화를 만들었는지
뺑반,2,"현실과 다르게 여경이 유능하게 처 그려지는 것도 역겹고, 원래 경찰은 검찰 따까리인데, 독립수사기관 코스프레 하는 것도 처 역겹네"
한산: 용의 출현,8,명량과 달리 전략적이고 꼼꼼한 이순신의 면모를 볼 수 있어서 좋았습니다. 생각보다 더 좋았습니다.
리플리,10,소시오패스의 삶이란!
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,스타와 팬이 아닌 가족이 느낄수있을 만큼의 교감이 느껴지는 영화
스타워즈: 에피소드 1 -  보이지 않는 위험,9,전작보다 진일보한 그래픽이 16년이 흘렀음을 말해준다.
서울대작전,8,가볍게 볼 수 있는 가족영화로 나쁘지 않음.
벤자민 버튼의 시간은 거꾸로 간다,9,파이트 클럽에 이은 데이빗 핀처 감독의 또다른 명작. 거꾸로 흐르는 시간을 극복하려는 사랑과 순응하려는 사랑 사이의 갈등. 시간보다 강력한 건 사랑이다.
더 킬러: 죽어도 되는 아이,10,장혁같은 사람한테 총 쥐어주고 합법적으로 우리나라 양아치 조폭 사기꾼 비리 공무원 다  죽이라고 한다면 상당히 깨끗한 나라가 되지 않을까...? 라는 뇌피셜이 샘솟는다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,가수의 자연스러운 일상을 볼수있어서좋았습니다
탑건: 매버릭,10,역시나가 역시나였다 기대를 저버리지 않음
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,김호중님 컴백 무비  빛이나는사람   감동 입니다 항상응원하고 축복합니다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,기다렸던 컴백무비~~역시나 빛이나고 빛을발하는 우리의 별 김호중    감동입니다
사랑할 땐 누구나 최악이 된다,10,좋은 영화에요 성장 영화
서울대작전,1,배우들 너무 오버 연기….
한산: 용의 출현,2,이제 이런거 그만 나왔으면식상하다
글래디에이터,7,영화로 담기에는 너무 큰 이야기. 다른 얘기이긴 하지만 드라마 스파르타쿠스를 봤었는데 그때보다 영상미는 훨씬 뛰어나지만 아무래도 담지 못한 얘기가 많은 것 같은 느낌이 들었다. 관중들이 열광하는 이유나 검투사 부하들이 충성하는 이유가 제대로 담기지 못한 것 같아 아쉬웠다. 리들리 스콧의 최고작은 아무래도 킹덤 오브 헤븐이 아닐지.
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,잔잔한 감동주는 좋은 영화예요 가수 김호중 의 따뜻한 품성이 보이고 간간히 나오는 그의 노래가 대박입니다 노래 천재 맞는듯요꼭 감상하시길 강추합니다
닥터 스트레인지: 대혼돈의 멀티버스,5,나름 잘 나가다가 음표로 싸우는 장면에서ㅋㅋ 그 장면을 왜 그런식으로 넣었는지..집에서 봐서 다행이다
간신,2,이거 5점 넘게 주신 분 들 지능이 의심되요
육사오(6/45),10,아 이 영화 진짜 너무 재밌어요 !! 배우분들 연기는 말할 것도 없고 스토리도 참신하고 그냥 내내 웃다 온 듯 영화관에서 사람들이랑 그렇게 크게 웃은 것도 너무 오랜만이고 매 장면 지루할 틈이 없어서 시간 순삭이었어요 ㅠㅠ 결말이 좀 아쉽긴 했는데 뭐 거기서 더 진지하게 같아도 이상했을 것 같기도 하고 ? 암튼 볼까말까 고민하셨다면 꼭 보시길
마녀(魔女) Part2. The Other One,2,지이이이이인짜 시간아깝다
듄,2,영상이나 음악은 압도적이긴 한데좀 너무 과하고 빌드업 뿐인 영화였음..반지의 제왕은 스토리를 모르고 봐도지루함이 없었는데 이 영화는 중간부터 졸음 참다가 마지막에는 잤다
장사리 : 잊혀진 영웅들,10,
문라이트,2,보다 잠들었는데 다들 잼게 봤나보네영 ㅋㅋㅋ
서울대작전,4,웬만하면 재밌게 봤다고 한다.웬만하지 않다.
블랙머니,2,왜 좌파들이 검찰을 싫어하고 검찰개혁이니 검수완박을 지지하는지 알겠네요! 이같이 미디어를 가지고 실제 론스타 사건을 교묘하게 이용해수사내용과 다르게 검찰은 무조건 나쁜놈이란 프레임을 씌우니까!
일 포스티노,10,"인생 자체가 한 편의 시가 되어가는 과정이거늘..,"
언브로큰,10,
육사오(6/45),4,너무기대했는지…. 핵노잼
더 킬러: 죽어도 되는 아이,6,나쁜 넘들이 처참하게 죽는다기 보다는 겁나 깔끔하게  마치 사형수를 사형하듯 깔끔하게 죽네요 .
육사오(6/45),8,웃기면 장땡. 올해 본 영화 중에 제일 웃겼다. 다만 성의 없는 마무리가 좀 아쉬웠다.
토이 스토리 2,10,옜날에 봐서 기억은 잘안나지만 장난감들의 이야기 역시 잘표현 했다 정말 최고의 시리즈물
한산: 용의 출현,2,명량도 정말 재미없게 봤는데 투는 제발 안나오길바랬는데 나왔네요 역시 봤는데 정말 지루하게 봤네요 스파이는 뭐그렇게 자주 활용하는지 최종병기활 감독 표절한영화만 재미있고 이 두영환뭐 이순신장군님 이름에 먹칠할  영화입니다 정말 지루하고 재미없으니 안보길 바랍니다
서울대작전,2,영화보면서 처음으로 감독이 어떤사람인지  궁금해졌다.
세자매,10,좋았음 전부..연기ㆍ스토리ㆍ감동ㆍ사연
리미트,3,굳이 영화관에서 볼 정도는..
리미트,1,"92명 참여해서 평점 8점 조작당한거니 믿지 마세요. 팩트는 CGV 계란지수 63%, 메가박스 6점대 평점입니다. 올해 한국영화중 가장 낮은 수치입니다."
사바하,10,4번째보고있습니다 멋진연기와 이야기입니다지금까지도 이런영화없습니다이정재님의 목소리또한 영화전체 분위기를 만드는데너무멋있습니디ㅡ
서울대작전,2,최악이다.오글오글.B급인데웃기지도않어
육사오(6/45),10,모두가 볼수있는 영화.웃음만땅^^
서울대작전,2,제대로 노잼출연배우들 몸값세는게 더 재밌음
한산: 용의 출현,10,"우리 민족의 가장 위대한 인물 이순신, 그는분명 민족의 태양이고 역사의 면류관이다!!"
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,빛이나는사람 가사도 좋고 노래에 중독성있어 자꾸 부르게 되네요ㆍ
서울대작전,1,감독과 연출의 중요성을 깨달음
리미트,6,"그래도 엄마가 형사인데... 고구마, 호박 고구마!!"
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
조 블랙의 사랑,10,"영화가 가면 갈수록 이해가 돼서 신기했어요.. 그리고 다 보고 나니 처음 느껴 보는 알 수 없는 감정을 느꼈어요. 이 감정을 표현할 수 있는 말이 뭔 지 모르겠네요.. 그냥 브래드피트 리즈시절 감상하고 싶었을 뿐인데 뭔지 모를 여운을 얻어가네요,, 그리고 브래드피트 연기 너무 잘하네요 눈빛부터 달라지는 1인 2역..."
서울대작전,10,별 생각없이 보기에 딱 좋은 오락영화였어요.카체이싱도 잼있던데 이렇게 혹평받을 이유를모르겠네. 그사람이 나와서인가
열한번째 엄마,10,진짜 꼭 봐주세요 눈물 콧물 다 흘려서 눈은 소세지 마냥 붓고 코는 하도 풀어서 얼얼하네요
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,조아요 감사드립니다 조아요
비상선언,2,좌파가 만든 쓰레기 영화 영화를 정치적 사상 주입의도 가지고만들면 이런 쓰레기 영화가 나온다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,"전 팬의 입장이라 무조건 감동했습니다.너무나 인간적이고 너무나 진심인 가수, 빛이나는 사람 김호중 응원합니다."
카터,8,새로운 촬영기법이어서 재밌었고 워낙 오큘러스 게임하다보니 게임하는 기분도 들어서 좋았다 사람들 평이 안좋은데 나는 서울대작전보다 100배 재밌었다. 진심. 그리고 서울대작전과 비교안해도 충분히 볼만한 영화  나는 추천합니다~
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
육사오(6/45),10,"음.,나름 재밌는 영화.ㅋㅋ전개가 미리 보이는 영화.ㅎ 배우들이 멋지다.하룻밤 사이 닭들과오리들..그건 진짜.ㅠㅠㅠ"
"굿 럭 투 유, 리오 그랜드",6,60대 여자가 한 번도 경험못한 오르가즘을 느껴보고자 매춘을하는 과정을 만들었다.매춘을 엄청 미화가된 느낌이 있다.재미도 없고 오로지 엠마톰슨의 연기만 좋더라..
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,담백하고 진솔한.김호중의 Story. 마음으로 사랑을 아니할 수 없는 향기나는 사람.
그레이 맨,10,개인적으로 첩보물중에 최고네요!!
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,진심이  느껴져  감동입니다
잉글리쉬 페이션트,8,잔잔한데 몰입도 있어요~.
숙명,10,고2때 참 인상깊게 봤던 영화 오랜만에 봐도 재밌다
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
서울대작전,10,나만 재밌었나 대차게 까이길래 기대안하고 봤더니나름 꿀잼이던데?
한산: 용의 출현,2,흠... 미안하지만 이제는 이순신 영화 안볼랍니다 휴...
한산: 용의 출현,7,4d광고 엄청하던데 광고한거에 비해 너무 뜬금없는 부분에서 의자가 쓸데없이 많이 움직여서 별로엿음
프레이,1,식상한 캐릭터 진부한 대사 예상되는 스토리 늘어지는 내용 전개여기서 뭐 나올 것 같은데 -> 나온다 / 도망가겠지 ->도망간다 / 누가 구해주겠지? -> 구해준다 / 싸워서 누가 이기겠지 -> 그렇게 된다 / 해치웠나? -> 살아있다 /50분 정도 졸면서 보다가 껐는데 쫓고 쫓기는 학살 파티로 내용 질질 늘어뜨리다가 결말부에서 가족이 죽거나 위기에 처하자 니달리가 각성해서 손도끼로 대충 슥삭 마무리하고 오빠나 엄마가 니가 짱이다 인정해주고 끝낼 거 예상해본다    30분 압축하면 끝날 내용을 뻔한 내용 있는대로 집어넣고 질질 늘어뜨려서 만든 망작 영화에 후한 점수 1점 주고 간다
탑건: 매버릭,10,진짜 탐형은 견자단과 함께 레전설이다
우드잡,10,최고의 자연 힐링물소메타니 쇼타의 연기가 좋다. 일본 미에현의 자연도 너무 깨끗하고 좋아보인다.
몸 값,10,상상외 반전+수준급 연기력+제목의 이중적의미 등등 굉장히 높은수준의 영화네요 소름돋았습니다
너의 이름은.,10,진짜 재밌는데 .. 마지막에 너의 이름은 ..!!! 하고 눈물 쏟으면서 끝나려는 찰나에 아빠한테 이 영화 본다고 영화 이름으로 너의 이름은 이랬는데 아빠가 자기 본명 말한 카톡 짤 생각나서 눈물 쏙들어감
육사오(6/45),4,내 기준으론 뭐가 재밌는지 모르겠음…
세자매,8,예수쟁이 존나게 짜증남
서울대작전,1,휴! 총체적인 난국무비!
카터,1,겁나 재미없음 시간낭비
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
서울대작전,8,그냥 가볍게 팝콘 먹으면서 즐길 수 있는 부담 없이 가볍게 볼 수 있는 그런 영화였음딱 10대 20대를 주 타깃으로 한 영화인듯?부담 없이  킬링타임용으로 봤음 낫벳
쥬라기 월드: 도미니언,10,쥬라기 시리즈를 전부 좋아하는 나로써는 예전 배우들이 다 등장하는데에서 너무 좋았다. 하지만 스토리 자체는 미흡함이 없지않아 있는거 같았다. 영상미는 좋았고 역시 랩터 블루는 사랑스러웠다 스토리가 계연성과 주 된 내용이 공룡들과 인간에 공존 내용이었더라면 더 재밌었을텐데....아쉬운 편이었다ㅠㅠㅠㅠ와중에 블루 새끼 기여워ㅠㅠㅠㅠ????
한산: 용의 출현,10,명량보다 힘을 뺐는데 더 큰 힘이 느껴졌다.
7급 공무원,2,이게 뭐야 ㅋㅋ처음부터 끝까지 너무 난잡하고 ㅋㅋㅋㅋ이도저도 아닌 영화니 그냥 맘놓고 보시길ㅋ
외계+인 1부,10,재밌네요~2편이 기대되는 영화는 처음이에요  미드 다음 시즌 기다려지는 느낌들어요
노스맨,6,영화관에서 봐야할 영화_북유럽 소재로 무난했다고 생각
사랑할 땐 누구나 최악이 된다,7,중간에 이해하지 못하는 부분들은 많지만 그래도 좋은 영화
특송,10,재밌다 스릴있고 흥미진진하고 긴장감있고 지루할 틈이 없는 이런 액션 영화 좋다 아쉬운 점은 김의성님 살았음 했는데 안타깝고 300억도 그거 때문에 많은 사람이 죽은거라 박소담이나 아역배우가 갖는 스토리 였으면 했는데 아니어서 좀 아쉬웠다 아역배우도 마지막에 엄마가 찾아오는 장면도 있었음 했는데 결말이 여러가지 아쉬웠지만 잘 만든 영화 2도 나왔으면 좋겠는 영화
서울대작전,1,갑자기 영화가 산으로 가요
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
시맨틱 에러: 더 무비,10,인간적으로 개봉관 너무 적다.. 지방사람들 어떡하라고ㅠㅜ 상영하는 극장 찾아 도시대이동해야하지만.. 그래도 좋다♡
옥자,10,최고~!!♡한번보고 두번보고..ㅎ
헌트,6,너무 호평 많이했지만 그정도는 아닌듯. 그냥 편히 볼수있는 정도이고 이정재감독님 데뷔는 멋졌다!!
첨밀밀,6,인간은 이성만으론 살 수 없지.... 이성은 소정이지만.... 결국 사랑은 감정의 영역.... 작위적인 스토리 빼곤 다 좋았다
육사오(6/45),9,볼만했어요 ㅎㅎ 중간중간 빵터졌네요
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,진솔한 김호중님의 멘트에 감동
서울대작전,4,-_-..다들 왜들 그러세요 아닌건 아니라고 좀 해주셔야죠 영화관계자들 다 알텐데이번건 제대로 망햇어요 ;;
러브 & 드럭스,10,일단눈호강앤해서웨이 넘예뻐!!
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
외계+인 1부,10,나는 오랜만에 극장에서 봐서 안아까운 영화라 생각함
한산: 용의 출현,10,"김한민의 변신, 불의 = 민주당 그리고 전과범이 있을 뿐."
더 킬러: 죽어도 되는 아이,2,액션은 부자연스럽고 연출도 수준 이하의 작품입니다. 스토리라도 좀 괜찮았으면 하는 아쉬움이 크네요. 보는 내내 시간이 아깝더군여
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,김호중 가수의 진솔하고 아름다운 마음과 그와 함께하는 팬들에 대한 사랑이 감동적으로 나타나 있네요
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
프레이,1,전작이 망해서 겨우 인정받는영화...극장에 안걸린게 신의한수!!
서울대작전,4,유아인이 아깝다 마지막 비둘기똥은 해석불가
외계+인 1부,10,2부 기다려짐!! 너무 재밋게봤습니다!!
요노스케 이야기,10,우연히 보게 되었는데 좋았습니다 졸업한 지 얼마 되지 읺았는데 신입생 시절의 저의 모습이 보이기도 했구요..ㅎ지방에서 올라와 촌뜨기 티 내던 모습과 철 없는 소년의 모습이 보기 좋았습니다 잔잔한 힐링있는 영화였어요
킹스맨: 퍼스트 에이전트,1,진짜 재미없고 짜침ㅋㅋ
마녀(魔女) Part2. The Other One,2,유치 하게 왼욕지꺼리를 그리썻는지.내용이 뭔지?  3편 소개 영화정도.
해바라기,10,"어머니, 제가 처음으로 일을 해서 월급을 탔습니다. 그래서 이거 하나 샀습니다"
한산: 용의 출현,6,1편보다 다듬어진 2편.
레버넌트: 죽음에서 돌아온 자,9,"날 그 숲, 그 설원, 그 설산으로 데려간다."
육사오(6/45),1,장난하나심형래 우뢰매를 봐라아 승질난다
서울대작전,6,"음악은 뻔했고 연기는 기량차이가 너무컸으며, 웃음이 터지지도 않는데 정치범이 가볍게 연출되어서 불편했다. 차량액션만큼은 좋았다."
메멘토,8,잘 보아야함 같은장면 같은데도 다른거임 반전영화
더 배트맨,1,이번만큼은 악당들이 고담시를 쓸어버렸으면 했다...
서울대작전,10,가볍게 보기 좋은 오락영화 너무 경쾌하고 통쾌했어요!!
꾼,6,반전&구구절절 설명 &반전 이번엔 왜 이렇게 되었나 또 구구절절&또또 반전 또또 구구절절 또또또 반전 또 설명 또또또또 반전&반전&반전&반전 아우 지저분해.
헌트,10,체고체고 액션 좋아하면 무조건 좋아할 영화
한산: 용의 출현,4,박해일이 연기쪼가 먼가 이순신역하곤 안맞는느낌 ... 시작부터 끝까지 똑같은 박해일이 무?표정만 보다가 끝난느낌 ... 박해일이 연기를 못하는건 아니지만 먼가 시종일관 부담을 느끼며 연기하지 않았나 싶다.
한산: 용의 출현,1,무슨 알바생들을 3000명을 뽑았나요? 전작보다 스토리도 연출도 cg도 완전 개구린영화를 만들어놓고 무슨 평점이 이런 상황?영화안에 해상전투신 싸구려급에 전부 ctrl*v복사복사 붙여놓고 무슨 역대급cg?전작을 연기와 적당하게 무리없는 cg로 만들었으면후작은 박해일이라는 좋은 배우도 썼으면 좀더 높은 퀄리티과 좋은 영상으로 역사의 영웅이순신이라는 이름에 걸맞게 잘 만들어야지이게 무슨 OOO기 영화임? 진짜 전작과 비교해서정말 OOO기 영화에 할말이 없음!3부작 간다는 애기가 사실인지 모르겠지만 cg는 기술적으로 떨어진다쳐도 돈이 없으면 여러가지 방면으로커버할 수 있는데 어떻게 영화를 이렇게 OOO기로만들었는지 이해가 안가네요… 그냥 b급 영화
장르만 로맨스,10,울다웃다  너무ㅇ좋았어요!!!
석양의 무법자,10,오에스티만으로 만점 빠라라라 빠밤~
스타 이즈 본,8,
육사오(6/45),9,오랜만에 소리내서 웃었음
김씨 표류기,10,ㅈㄴ 재밌어요 ㅠㅠ재밌고 감동적이고 연기 다 좋 아요
브레이킹 던 part1,10,제이콥도 이제 사랑을 찾는구나...왜 벨라에게 목숨건지 이해시켜주누 전개 굳!
서울대작전,1,우리나라 작품이란게 부끄러움
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,빛이나는사람 김호중님 컴백 무비 속 팬들 함성과 가수님의 음악에대한 진심 항상 노력하는 모습에 감동입니다 앞으로 행복하게 노래하는사람. 김호중 가수님 늘 꽃길만걷길 ~~응원합니다
더 킬러: 죽어도 되는 아이,10,와 대박 재밌네요 액션씬 쾌감 지리네요
말아,6,"rolling, 2021"
"좋은 놈, 나쁜 놈, 이상한 놈",7,액션보단 스토리에 집중하는게 좋았을듯.
브로커,5,"언제나 그렇듯 고레에다답게 흘러가지만 배우들은 왜이리 안맞아 보이는건지,,"
육사오(6/45),10,여태 본 영화들 중에 제일 잊지 못할 거고 가장 웃겼던 영화였어요. 아직도 웃겨 잠 못 잘 거 같습니다……….레전드
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
불릿 트레인,10,평점보고 별로인것같았는데아니에요 잼씁니다.꼭  보길바래요
한산: 용의 출현,2,이순신비중도 별루고  변요환밖에안보임
서울대작전,1,진짜인간적으로 이런영화는 제작시키지마라 ㅠ 괜히다음한국영화 투자안들어올까봐 속상함.ㅠ 그리고 유아인은 영화잘고르더니 요새 갑자기왜그런거냐.... 점점관리안하는지 인상도 안좋아지고 ㅠ
육사오(6/45),10,머리 식히기 딱*  좋은 영화! 아이디어도 굳!
헌트,1,평점 좋은 건 어쩌면 이 쓰레기를 나만 볼 순 없다 마인드일수도 있다 생각이 드는 영화.배우들 대사가 잘 안 들려서 중요한 내용이 아예 안 들리는 경우도 많고 외국인 배우의 발음 문제로 대사가 아예 안 들리네요. 대부분 영화관 나오면서 이해가 안된다는 반응이 많았던 것 같은데 어째서 이 영화과 2위인지 의문스러움. 바이럴이 아닐까 싶네요.. 탑건 한산 헌트 중에 헌트가 젤 별로였어요 아니 그냥 영화관에서 제가 본 영화중에 이렇게 줄거리 이해가 안 됐던 영화가 있나 싶을 정도..
주(咒),8,"이 영화는 영화와 현실 사이의 경계를 무너뜨려 관객을 영화 속에 끌어들일 뿐만 아니라, 영화의 결말을 관객에게 넘겨줍니다. 불쾌함을 느낀 시점에서 당신은 이미 영화와 현실을 구분하지 못하게 되어버린 겁니다. ""화불수일, 심살무모"""
육사오(6/45),9,이 영화는 주위에 관객이 많으면 많을수록 더 재미난거 같아요... 처음엔 좀 불편했는데 그 흐름에 저도 빠져드니까 마음 편히 시원하게 본거 같아요 특정 장면은 왜 넣었을까 아쉬운 감정도 있었는데... 영화 자체의 재미를 전부다 만족할 순 없는 법이니까요... 더운 여름의 마지막을 시원하게 적셔줄 공동로또구역 육사오(6/45) 추천드립니다...
오마주,10,잔잔하면서도 필름에 손을 베이는 것 같은 아픔을 섬세하게 잘 그려낸 작품이다. 이정도 감성을 그려낼 수 있다니. 대중성은 떨어질지 모르겠으나 감독의 메시지를 깊이 느낀다.
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
육사오(6/45),10,꿀잼이에요!! 이이경 고경표 조합
한산: 용의 출현,1,20n년 살면서 처음으로 그냥 잘까... 이 시간에 자는게 이득일지도... 라는 생각이 든 영화였음 진짜 핵지루하고 식상함 재미도 감동도 영상미도 개연성도 반전도 완성도도 뭐 그 무엇도 없음 차라리 다큐가 더 재밌을 듯
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,김호중가수 영화 기대하며 응원합니다
탑건: 매버릭,6,감동과 재미를 함께 주려했던 부분이 감동을 상쇄시켰다. 감동으로도 재미로도 조금 아쉬운 영화.
놉,9,긴장감이 장난 아니다. 시간 순삭
담보,10,이제서야 봤는데 감동적이네요 ㅠㅠ 지루한 부분 없이 너무 재미있게 봤습니다
서울대작전,2,첨 대본 받아보셨을때배우들은 진심으로 어떤생각이었을지
서울대작전,1,그냥 시간낭비인듯…넷플한테 200억기부
한산: 용의 출현,9,쓰레기 명량보단 훠얼씬 발전했다
한산: 용의 출현,8,매버릭 보고 전투기에 반했는데 한산 보고 거북선에 또 반했네.. 천만 넘길  바래요~
서울대작전,1,"머머리가 무서우면 애초에 이런걸 왜 만들지 아예 약빤 b급으로 갈거면 바스터즈처럼 가든가 결국 감독도 머머리 건들일 용기는 없어서 김성균,문소리란 명배우들을 이리 망치냐. 그리고 머머리 담당배우는 어디 스탭 목소리 따다씀?결국 머머리인거 빼고는 아무것도 건들이지 못하는 쫄보"
라라랜드,6,재미도 별로고 결말도 허무하고..여주가 너무 이기적으로 느껴짐
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,아름다운 이태리를 배경으로천상의 목소리로 부르는노래가 기대감을 높임
더 킬러: 죽어도 되는 아이,10,와 진짜 잼있는데 희한하네 관람객수 와 이러노
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,기대 만땅중으로 대기중입니다.
외계+인 1부,9,솔직히 재미있던데? 약간 어색한 부분이 있지만 신선하고 이 정도면 수작이라고 생각한다.
